,index,I_var,time_var,file_var,args_var,num_instancias_var,nome_do_dataset_var,key,I_fixed,time_fixed,file_fixed,args_fixed,num_instancias_fixed,nome_do_dataset_fixed,delta
0,1,1,0.003,./datasets/Aleatórios/a100.txt,['I'],100,Aleatórios,./datasets/Aleatórios/a100.txt_['I'],1,0.0065,./datasets/Aleatórios/a100.txt,['I'],100,Aleatórios,2.1666666666666665
1,7,1,0.0028,./datasets/Aleatórios/a100.txt,"['B', '10']",100,Aleatórios,"./datasets/Aleatórios/a100.txt_['B', '10']",1,0.0025,./datasets/Aleatórios/a100.txt,"['B', '10']",100,Aleatórios,0.8928571428571429
2,13,1,0.0025,./datasets/Aleatórios/a100.txt,"['B', '100']",100,Aleatórios,"./datasets/Aleatórios/a100.txt_['B', '100']",1,0.0018,./datasets/Aleatórios/a100.txt,"['B', '100']",100,Aleatórios,0.72
3,19,1,0.0019,./datasets/Aleatórios/a100.txt,"['B', '1000']",100,Aleatórios,"./datasets/Aleatórios/a100.txt_['B', '1000']",1,0.0017,./datasets/Aleatórios/a100.txt,"['B', '1000']",100,Aleatórios,0.8947368421052632
4,25,1,0.0022,./datasets/Aleatórios/a200.txt,['I'],200,Aleatórios,./datasets/Aleatórios/a200.txt_['I'],1,0.003,./datasets/Aleatórios/a200.txt,['I'],200,Aleatórios,1.3636363636363635
5,31,1,0.0017,./datasets/Aleatórios/a200.txt,"['B', '10']",200,Aleatórios,"./datasets/Aleatórios/a200.txt_['B', '10']",1,0.0017,./datasets/Aleatórios/a200.txt,"['B', '10']",200,Aleatórios,1.0
6,37,1,0.0015,./datasets/Aleatórios/a200.txt,"['B', '100']",200,Aleatórios,"./datasets/Aleatórios/a200.txt_['B', '100']",1,0.0016,./datasets/Aleatórios/a200.txt,"['B', '100']",200,Aleatórios,1.0666666666666667
7,43,1,0.0025,./datasets/Aleatórios/a200.txt,"['B', '1000']",200,Aleatórios,"./datasets/Aleatórios/a200.txt_['B', '1000']",1,0.0016,./datasets/Aleatórios/a200.txt,"['B', '1000']",200,Aleatórios,0.64
8,49,1,0.0025,./datasets/Aleatórios/a500.txt,['I'],500,Aleatórios,./datasets/Aleatórios/a500.txt_['I'],1,0.0034,./datasets/Aleatórios/a500.txt,['I'],500,Aleatórios,1.3599999999999999
9,55,1,0.0022,./datasets/Aleatórios/a500.txt,"['B', '10']",500,Aleatórios,"./datasets/Aleatórios/a500.txt_['B', '10']",1,0.0017,./datasets/Aleatórios/a500.txt,"['B', '10']",500,Aleatórios,0.7727272727272726
10,61,1,0.0022,./datasets/Aleatórios/a500.txt,"['B', '100']",500,Aleatórios,"./datasets/Aleatórios/a500.txt_['B', '100']",1,0.0016,./datasets/Aleatórios/a500.txt,"['B', '100']",500,Aleatórios,0.7272727272727273
11,67,1,0.0024,./datasets/Aleatórios/a500.txt,"['B', '1000']",500,Aleatórios,"./datasets/Aleatórios/a500.txt_['B', '1000']",1,0.002,./datasets/Aleatórios/a500.txt,"['B', '1000']",500,Aleatórios,0.8333333333333334
12,73,1,0.0024,./datasets/Aleatórios/a1000.txt,['I'],1000,Aleatórios,./datasets/Aleatórios/a1000.txt_['I'],1,0.0049,./datasets/Aleatórios/a1000.txt,['I'],1000,Aleatórios,2.041666666666667
13,79,1,0.0033,./datasets/Aleatórios/a1000.txt,"['B', '10']",1000,Aleatórios,"./datasets/Aleatórios/a1000.txt_['B', '10']",1,0.002,./datasets/Aleatórios/a1000.txt,"['B', '10']",1000,Aleatórios,0.6060606060606061
14,85,1,0.0032,./datasets/Aleatórios/a1000.txt,"['B', '100']",1000,Aleatórios,"./datasets/Aleatórios/a1000.txt_['B', '100']",1,0.0018,./datasets/Aleatórios/a1000.txt,"['B', '100']",1000,Aleatórios,0.5625
15,91,1,0.0042,./datasets/Aleatórios/a1000.txt,"['B', '1000']",1000,Aleatórios,"./datasets/Aleatórios/a1000.txt_['B', '1000']",1,0.0021,./datasets/Aleatórios/a1000.txt,"['B', '1000']",1000,Aleatórios,0.5
16,97,1,0.0041,./datasets/Aleatórios/a2000.txt,['I'],2000,Aleatórios,./datasets/Aleatórios/a2000.txt_['I'],1,0.0151,./datasets/Aleatórios/a2000.txt,['I'],2000,Aleatórios,3.6829268292682924
