I;time;file;args
0;0.0045;./datasets/Aleatórios/a100.txt;['I']
1;0.0030;./datasets/Aleatórios/a100.txt;['I']
2;0.0025;./datasets/Aleatórios/a100.txt;['I']
3;0.0020;./datasets/Aleatórios/a100.txt;['I']
4;0.0024;./datasets/Aleatórios/a100.txt;['I']
5;0.0019;./datasets/Aleatórios/a100.txt;['I']
0;0.0022;./datasets/Aleatórios/a100.txt;['B', '10']
1;0.0028;./datasets/Aleatórios/a100.txt;['B', '10']
2;0.0019;./datasets/Aleatórios/a100.txt;['B', '10']
3;0.0022;./datasets/Aleatórios/a100.txt;['B', '10']
4;0.0020;./datasets/Aleatórios/a100.txt;['B', '10']
5;0.0018;./datasets/Aleatórios/a100.txt;['B', '10']
0;0.0018;./datasets/Aleatórios/a100.txt;['B', '100']
1;0.0025;./datasets/Aleatórios/a100.txt;['B', '100']
2;0.0023;./datasets/Aleatórios/a100.txt;['B', '100']
3;0.0023;./datasets/Aleatórios/a100.txt;['B', '100']
4;0.0019;./datasets/Aleatórios/a100.txt;['B', '100']
5;0.0022;./datasets/Aleatórios/a100.txt;['B', '100']
0;0.0018;./datasets/Aleatórios/a100.txt;['B', '1000']
1;0.0019;./datasets/Aleatórios/a100.txt;['B', '1000']
2;0.0021;./datasets/Aleatórios/a100.txt;['B', '1000']
3;0.0030;./datasets/Aleatórios/a100.txt;['B', '1000']
4;0.0021;./datasets/Aleatórios/a100.txt;['B', '1000']
5;0.0021;./datasets/Aleatórios/a100.txt;['B', '1000']
0;0.0038;./datasets/Aleatórios/a200.txt;['I']
1;0.0022;./datasets/Aleatórios/a200.txt;['I']
2;0.0017;./datasets/Aleatórios/a200.txt;['I']
3;0.0017;./datasets/Aleatórios/a200.txt;['I']
4;0.0025;./datasets/Aleatórios/a200.txt;['I']
5;0.0018;./datasets/Aleatórios/a200.txt;['I']
0;0.0018;./datasets/Aleatórios/a200.txt;['B', '10']
1;0.0017;./datasets/Aleatórios/a200.txt;['B', '10']
2;0.0016;./datasets/Aleatórios/a200.txt;['B', '10']
3;0.0017;./datasets/Aleatórios/a200.txt;['B', '10']
4;0.0016;./datasets/Aleatórios/a200.txt;['B', '10']
5;0.0016;./datasets/Aleatórios/a200.txt;['B', '10']
0;0.0018;./datasets/Aleatórios/a200.txt;['B', '100']
1;0.0015;./datasets/Aleatórios/a200.txt;['B', '100']
