I;time;file;args1;0.0065;./datasets/Aleatórios/a100.txt;['I']
1;0.0025;./datasets/Aleatórios/a100.txt;['B', '10'];;;
1;0.0018;./datasets/Aleatórios/a100.txt;['B', '100'];;;
1;0.0017;./datasets/Aleatórios/a100.txt;['B', '1000'];;;
1;0.0030;./datasets/Aleatórios/a200.txt;['I'];;;
1;0.0017;./datasets/Aleatórios/a200.txt;['B', '10'];;;
1;0.0016;./datasets/Aleatórios/a200.txt;['B', '100'];;;
1;0.0016;./datasets/Aleatórios/a200.txt;['B', '1000'];;;
1;0.0034;./datasets/Aleatórios/a500.txt;['I'];;;
1;0.0017;./datasets/Aleatórios/a500.txt;['B', '10'];;;
1;0.0016;./datasets/Aleatórios/a500.txt;['B', '100'];;;
1;0.0020;./datasets/Aleatórios/a500.txt;['B', '1000'];;;
1;0.0049;./datasets/Aleatórios/a1000.txt;['I'];;;
1;0.0020;./datasets/Aleatórios/a1000.txt;['B', '10'];;;
1;0.0018;./datasets/Aleatórios/a1000.txt;['B', '100'];;;
1;0.0021;./datasets/Aleatórios/a1000.txt;['B', '1000'];;;
1;0.0151;./datasets/Aleatórios/a2000.txt;['I'];;;
1;0.0037;./datasets/Aleatórios/a2000.txt;['B', '10'];;;
1;0.0022;./datasets/Aleatórios/a2000.txt;['B', '100'];;;
1;0.0026;./datasets/Aleatórios/a2000.txt;['B', '1000'];;;
1;0.0797;./datasets/Aleatórios/a5000.txt;['I'];;;
1;0.0099;./datasets/Aleatórios/a5000.txt;['B', '10'];;;
1;0.0047;./datasets/Aleatórios/a5000.txt;['B', '100'];;;
1;0.0047;./datasets/Aleatórios/a5000.txt;['B', '1000'];;;
1;0.1691;./datasets/Aleatórios/a7500.txt;['I'];;;
1;0.0185;./datasets/Aleatórios/a7500.txt;['B', '10'];;;
1;0.0042;./datasets/Aleatórios/a7500.txt;['B', '100'];;;
1;0.0046;./datasets/Aleatórios/a7500.txt;['B', '1000'];;;
1;0.2594;./datasets/Aleatórios/a10000.txt;['I'];;;
1;0.0334;./datasets/Aleatórios/a10000.txt;['B', '10'];;;
1;0.0047;./datasets/Aleatórios/a10000.txt;['B', '100'];;;
1;0.0035;./datasets/Aleatórios/a10000.txt;['B', '1000'];;;
1;0.5546;./datasets/Aleatórios/a15000.txt;['I'];;;
1;0.0522;./datasets/Aleatórios/a15000.txt;['B', '10'];;;
1;0.0090;./datasets/Aleatórios/a15000.txt;['B', '100'];;;
1;0.0053;./datasets/Aleatórios/a15000.txt;['B', '1000'];;;
1;20.571;./datasets/Aleatórios/a30000.txt;['I'];;;
1;0.2147;./datasets/Aleatórios/a30000.txt;['B', '10'];;;
1;0.0292;./datasets/Aleatórios/a30000.txt;['B', '100'];;;
1;0.0084;./datasets/Aleatórios/a30000.txt;['B', '1000'];;;
1;57.124;./datasets/Aleatórios/a50000.txt;['I'];;;
1;0.5803;./datasets/Aleatórios/a50000.txt;['B', '10'];;;
1;0.0703;./datasets/Aleatórios/a50000.txt;['B', '100'];;;
1;0.0136;./datasets/Aleatórios/a50000.txt;['B', '1000'];;;
1;157.740;./datasets/Aleatórios/a75000.txt;['I'];;;
1;13.923;./datasets/Aleatórios/a75000.txt;['B', '10'];;;
